epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.754,1.42797,1.31495,1.07895,0.95289,0.96003,0.96988,0.70303,1.03269,inf,0.95537,0.000554645,0.000554645,0.000554645
2,206.073,0.99668,0.62547,0.92376,0.95711,0.96668,0.98186,0.7707,0.83225,inf,0.88268,0.00109461,0.00109461,0.00109461
3,303.666,0.87914,0.54761,0.89331,0.95913,0.96866,0.9891,0.80756,0.70311,70.0708,0.85066,0.00161886,0.00161886,0.00161886
4,397.932,0.80574,0.50082,0.87611,0.9748,0.97722,0.99253,0.84507,0.61444,14.4923,0.82571,0.00159627,0.00159627,0.00159627
5,493.785,0.75651,0.47402,0.86328,0.97417,0.97057,0.98888,0.86171,0.55917,inf,0.81359,0.0015727,0.0015727,0.0015727
6,589.2,0.70339,0.44538,0.85276,0.9669,0.93651,0.99325,0.84522,0.62126,9.98672,0.83161,0.00154912,0.00154912,0.00154912
7,683.812,0.67987,0.42642,0.84811,0.9831,0.98476,0.99363,0.89094,0.49061,4.38978,0.80001,0.00152554,0.00152554,0.00152554
8,778.293,0.64271,0.40615,0.84086,0.98994,0.97384,0.99397,0.90106,0.46859,3.22652,0.79511,0.00150197,0.00150197,0.00150197
9,874.163,0.62356,0.39761,0.83647,0.99012,0.97343,0.99345,0.90418,0.44718,0.48198,0.7889,0.00147839,0.00147839,0.00147839
10,970.003,0.61174,0.38551,0.83402,0.96544,0.98159,0.99411,0.90789,0.4391,1.13432,0.78786,0.00145481,0.00145481,0.00145481
11,1065.22,0.59707,0.38093,0.83098,0.9971,0.99751,0.99427,0.91965,0.40808,0.28146,0.78233,0.00143124,0.00143124,0.00143124
12,1159.65,0.58283,0.36683,0.82874,0.99635,0.99637,0.99433,0.91413,0.43178,0.31941,0.78601,0.00140766,0.00140766,0.00140766
13,1256.56,0.57945,0.3629,0.82801,0.99113,0.98674,0.99414,0.91338,0.42909,0.28847,0.78467,0.00138409,0.00138409,0.00138409
14,1351.49,0.56156,0.35497,0.82518,0.96483,0.97309,0.99376,0.90986,0.44737,0.69266,0.79051,0.00136051,0.00136051,0.00136051
15,1446.19,0.55474,0.35221,0.82441,0.99638,0.99702,0.99432,0.92577,0.41494,1.56662,0.78359,0.00133693,0.00133693,0.00133693
16,1541.18,0.54289,0.34318,0.82241,0.99738,0.99793,0.99424,0.93674,0.37298,0.26552,0.7751,0.00131336,0.00131336,0.00131336
17,1638.32,0.53262,0.33643,0.81998,0.98905,0.98803,0.99423,0.93586,0.37108,0.25741,0.77471,0.00128978,0.00128978,0.00128978
18,1732.72,0.52848,0.33353,0.81962,0.99712,0.99728,0.99429,0.94057,0.35787,0.23782,0.77255,0.00126621,0.00126621,0.00126621
19,1827.09,0.5179,0.32807,0.81825,0.99786,0.99814,0.99428,0.94079,0.35242,0.51863,0.77201,0.00124263,0.00124263,0.00124263
20,1923.44,0.50905,0.32362,0.81597,0.99681,0.9965,0.9943,0.93613,0.36691,0.24183,0.77267,0.00121905,0.00121905,0.00121905
21,2017.96,0.50604,0.31756,0.81559,0.99783,0.99805,0.99436,0.93804,0.37646,0.23364,0.77793,0.00119548,0.00119548,0.00119548
22,2113.62,0.49899,0.31872,0.81443,0.99759,0.99771,0.99434,0.94883,0.32899,0.49833,0.7675,0.0011719,0.0011719,0.0011719
23,2208.55,0.48964,0.30887,0.81307,0.99783,0.99824,0.99441,0.94735,0.33661,0.5497,0.76846,0.00114832,0.00114832,0.00114832
24,2304.95,0.48209,0.30465,0.8116,0.99805,0.99813,0.99436,0.95291,0.31874,0.26083,0.76547,0.00112475,0.00112475,0.00112475
25,2401.83,0.4775,0.30109,0.811,0.99783,0.99781,0.99444,0.95619,0.30834,0.28741,0.76363,0.00110117,0.00110117,0.00110117
26,2496.88,0.46498,0.2964,0.8089,0.99821,0.99817,0.99442,0.96019,0.30372,0.22005,0.76369,0.0010776,0.0010776,0.0010776
27,2591.44,0.46485,0.29614,0.80912,0.99812,0.99841,0.9944,0.95786,0.3131,0.36968,0.76461,0.00105402,0.00105402,0.00105402
28,2688.44,0.46101,0.29308,0.8088,0.99734,0.99778,0.99443,0.95699,0.3078,0.23432,0.76335,0.00103044,0.00103044,0.00103044
29,2783.68,0.45111,0.28865,0.80652,0.99793,0.99823,0.99442,0.96018,0.29694,0.20695,0.76147,0.00100687,0.00100687,0.00100687
30,2878.38,0.45257,0.28841,0.80736,0.99817,0.99822,0.99443,0.96359,0.28807,0.72161,0.76077,0.000983292,0.000983292,0.000983292
31,2972.5,0.44012,0.28254,0.80534,0.99812,0.99838,0.99442,0.96506,0.28813,0.20393,0.76065,0.000959716,0.000959716,0.000959716
32,3070,0.43868,0.27893,0.80457,0.99808,0.99818,0.99451,0.96573,0.28242,0.2033,0.75996,0.00093614,0.00093614,0.00093614
33,3165.88,0.42911,0.27526,0.80348,0.99811,0.99832,0.99447,0.96638,0.28133,0.3288,0.75916,0.000912563,0.000912563,0.000912563
34,3261.09,0.43244,0.27814,0.80425,0.99805,0.99822,0.99445,0.96852,0.27676,0.28363,0.7589,0.000888987,0.000888987,0.000888987
35,3356.84,0.42219,0.27274,0.8024,0.99788,0.99843,0.99447,0.96747,0.28095,0.20016,0.75953,0.000865411,0.000865411,0.000865411
36,3451.74,0.41931,0.27165,0.80256,0.99818,0.99843,0.99448,0.96878,0.27429,0.19921,0.75862,0.000841835,0.000841835,0.000841835
37,3546.42,0.41606,0.26863,0.80152,0.99815,0.99843,0.99437,0.97008,0.26996,0.22031,0.75831,0.000818259,0.000818259,0.000818259
38,3640.55,0.41323,0.2671,0.80132,0.9981,0.99844,0.99444,0.97143,0.2643,0.23156,0.75737,0.000794683,0.000794683,0.000794683
39,3736.5,0.40922,0.26815,0.8006,0.99808,0.99819,0.99451,0.9711,0.26269,0.19863,0.75634,0.000771107,0.000771107,0.000771107
40,3832.28,0.40412,0.26238,0.79985,0.9983,0.99833,0.99447,0.97291,0.26006,0.23362,0.7566,0.00074753,0.00074753,0.00074753
41,3926.48,0.40335,0.2608,0.80019,0.99831,0.9983,0.99445,0.9734,0.2563,0.18899,0.7563,0.000723954,0.000723954,0.000723954
42,4020.14,0.39257,0.25589,0.79811,0.99818,0.99847,0.99448,0.97622,0.24672,0.18994,0.75479,0.000700378,0.000700378,0.000700378
43,4115.46,0.39122,0.25542,0.7984,0.99813,0.99849,0.99445,0.97652,0.24701,0.18327,0.75495,0.000676802,0.000676802,0.000676802
44,4211.07,0.39095,0.25549,0.798,0.99843,0.99832,0.99449,0.97627,0.24663,0.18163,0.7552,0.000653226,0.000653226,0.000653226
45,4305.18,0.38688,0.25346,0.7979,0.99848,0.99828,0.99451,0.97678,0.24705,0.18609,0.75486,0.00062965,0.00062965,0.00062965
46,4399.01,0.38536,0.25103,0.79726,0.99812,0.99846,0.99449,0.97741,0.24419,0.18262,0.75435,0.000606074,0.000606074,0.000606074
47,4495.53,0.38084,0.25099,0.79713,0.9982,0.99836,0.99449,0.97796,0.23855,0.17929,0.75368,0.000582497,0.000582497,0.000582497
48,4590.99,0.37721,0.24798,0.79634,0.99826,0.99835,0.99453,0.9772,0.24537,0.17945,0.75487,0.000558921,0.000558921,0.000558921
